algorithm,test_acc,train_acc_avg,train_accs_var,train_acc_1,train_acc_2,train_acc_3,train_acc_4,train_acc_5
None,0.8115,0.8089999999999999,2.5562499999999727e-05,0.815,0.809375,0.806875,0.813125,0.800625
PC,0.8265,0.815625,1.9843750000000154e-05,0.821875,0.80875,0.81625,0.818125,0.813125
FCI,0.8265,0.815625,1.9843750000000154e-05,0.821875,0.80875,0.81625,0.818125,0.813125
GES,0.8255,0.8151249999999999,2.1781250000000116e-05,0.8225,0.808125,0.816875,0.814375,0.81375
GES (parents),0.813,0.7921250000000001,9.3749999999996e-08,0.7925,0.7925,0.791875,0.791875,0.791875
